CustomerID,Gender,Age,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0001,Male,34,Spain,0,112079.76,3,0,1,84948.69,1
0002,Female,26,Germany,6,127608.12,4,1,0,98945.27,0
0003,Male,50,France,7,156648.13,1,0,1,37508.18,0
0004,Male,37,Germany,2,231595.65,1,0,1,39644.42,0
0005,Male,30,Germany,4,4779.02,4,1,0,15809.63,0
0006,Female,45,France,0,119210.87,2,1,1,55089.45,0
0007,Male,65,France,6,171930.51,2,0,0,88364.25,0
0008,Male,46,Germany,4,180676.74,1,1,1,130110.89,0
0009,Male,30,France,7,173133.11,3,1,0,103369.84,0
0010,Female,63,Spain,7,33608.78,2,1,0,70955.49,1
0011,Male,52,Spain,8,74848.9,3,1,1,143436.82,1
0012,Male,23,France,6,89678.88,2,0,0,110694.33,0
0013,Male,35,Germany,10,201109.3,2,1,1,140223.13,0
0014,Male,68,France,0,69689.97,3,0,0,83862.32,0
0015,Female,22,France,2,52676.24,4,0,0,46246.6,1
0016,Male,64,Germany,7,239362.0,2,0,0,17395.74,0
0017,Female,42,Germany,2,2215.82,2,0,1,111651.88,0
0018,Female,19,Spain,7,249455.21,3,1,1,26982.42,0
0019,Female,27,Germany,0,169205.32,4,1,0,52388.52,0
0020,Male,47,Spain,4,207117.32,2,1,1,84545.93,0
0021,Female,67,Germany,3,73654.85,2,0,0,89018.32,0
0022,Male,62,France,4,3578.82,4,0,1,94081.65,0
0023,Female,22,Spain,7,184467.38,2,0,1,33275.75,0
0024,Female,50,Spain,9,208536.15,4,1,0,63163.24,0
0025,Female,18,Spain,3,185119.03,4,0,0,96407.19,0
0026,Female,35,France,10,35712.57,3,1,0,145774.64,1
0027,Female,49,France,3,188356.98,1,1,0,111868.36,0
0028,Female,64,France,2,192230.7,4,1,0,139164.53,1
0029,Female,66,France,6,164635.13,3,1,1,116709.69,0
0030,Female,28,France,2,191528.98,1,0,1,92840.38,0
0031,Male,38,Spain,2,211480.36,2,1,0,36883.27,0
0032,Male,43,France,10,153401.03,1,0,0,103335.99,0
0033,Female,42,Spain,9,22151.18,4,1,0,97273.14,0
0034,Female,39,France,4,121906.95,4,0,1,94345.68,0
0035,Female,44,Germany,4,19412.33,4,0,0,78570.02,0
0036,Male,66,Spain,5,101885.76,4,1,0,84011.92,0
0037,Female,30,Germany,7,101776.62,4,1,1,56821.95,1
0038,Male,50,Spain,9,16502.46,3,1,1,82703.78,1
0039,Male,51,Germany,5,87205.13,4,0,1,37657.83,0
0040,Male,58,France,0,27749.52,3,1,1,122724.42,1
0041,Male,52,France,7,202058.8,2,1,0,36008.77,0
0042,Male,18,France,7,236922.01,4,0,1,21895.28,0
0043,Female,38,Spain,8,18079.12,4,1,1,71074.44,1
0044,Female,65,Germany,8,238778.8,1,0,0,102163.04,0
0045,Female,23,France,1,130644.15,2,1,0,71280.36,0
0046,Female,45,Germany,1,74891.42,4,0,0,48745.58,0
0047,Female,34,Germany,2,19215.52,4,0,1,88143.97,1
0048,Male,22,France,0,125156.07,2,1,0,58580.33,1
0049,Female,48,France,3,198628.89,3,0,1,140601.48,0
0050,Female,22,Germany,3,176771.62,4,1,1,139170.32,0
0051,Male,55,France,8,12556.5,1,1,1,80332.05,0
0052,Female,20,France,8,18225.46,4,0,0,55903.76,0
0053,Male,40,France,8,100718.32,1,1,1,113198.54,0
0054,Female,54,Spain,9,73822.62,1,0,0,15139.81,0
0055,Male,54,Germany,6,58096.08,4,0,0,76467.66,0
0056,Female,27,Germany,1,70251.12,4,0,0,57085.28,0
0057,Female,27,Spain,9,200870.69,1,0,1,138875.02,0
0058,Male,36,Germany,4,232307.01,2,0,1,11680.42,0
0059,Male,34,France,3,101275.67,2,0,1,87394.08,1
0060,Male,38,Germany,10,226527.75,4,0,0,113692.9,0
0061,Male,31,France,7,80373.93,3,0,1,77902.52,0
0062,Male,26,Spain,1,119109.25,2,1,1,21956.42,0
0063,Male,63,France,5,56507.25,4,1,1,146144.59,0
0064,Male,18,Germany,4,160119.01,2,0,1,82521.46,0
0065,Male,68,Germany,1,244745.28,3,1,1,95986.07,0
0066,Female,62,Germany,10,150873.27,4,1,0,43125.37,0
0067,Female,30,Spain,9,89453.52,3,1,0,77689.73,0
0068,Male,21,Spain,0,161954.36,4,1,0,70080.93,0
0069,Female,18,Germany,7,30730.17,3,1,0,20485.42,0
0070,Female,66,France,1,222164.77,2,1,1,24862.45,1
0071,Female,57,Spain,6,125770.99,2,0,0,127246.15,0
0072,Female,49,Germany,8,112337.44,3,1,1,43574.79,0
0073,Male,51,Germany,8,146466.2,3,1,0,37294.16,0
0074,Female,45,Spain,7,156195.97,3,1,0,80687.6,0
0075,Male,48,Spain,10,17943.95,4,1,0,117624.6,0
0076,Female,25,Spain,9,170654.31,2,0,1,18672.51,0
0077,Female,56,France,8,60482.92,4,0,1,90753.11,0
0078,Female,43,France,1,178488.16,2,0,0,26689.46,0
0079,Male,51,Germany,5,205633.7,1,0,1,15104.55,0
0080,Female,20,Spain,3,200989.63,4,1,0,17384.15,0
0081,Male,67,France,3,138125.24,2,0,0,126782.98,0
0082,Female,29,Spain,4,130042.47,2,0,0,26516.15,0
0083,Male,18,Germany,2,35718.99,4,0,1,16321.19,0
0084,Female,61,France,0,193836.54,4,0,0,71305.98,0
0085,Male,22,France,7,67852.35,2,1,0,128159.09,0
0086,Male,47,France,4,124173.86,4,0,0,46737.17,1
0087,Female,47,Germany,2,71068.52,3,1,1,69039.77,0
0088,Male,34,Spain,9,33457.09,4,0,0,15589.15,1
0089,Female,65,France,6,157389.42,4,1,1,72870.99,0
0090,Female,64,Germany,6,13583.01,4,1,0,90865.83,0
0091,Female,40,Spain,0,187161.31,2,0,1,89926.99,0
0092,Female,32,Germany,8,79396.7,3,0,0,56539.74,1
0093,Female,54,Spain,1,33.67,1,0,0,54174.65,0
